Institution,School Name,Main,Classification,Longitude,Latitude,Physical Address,Oral Pills (contraception),Injectables,IUDs  (contraception),Implants (contraception),Female Sterilization (contraception),Male Sterilization (contraception),Male Medical Circumcision (MMC),TB,Maternal Health,Mental Health,Child Health,Oral health services,Rehabilitation Services,Minor Ailments,HIV Testing,HIV Treatment (ART),Oral PrEP,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester,Sexuality Transmitted Infections Screenings
Ingwe TVET College,Ingwe TVET College - Mt Fletcher Campus,,Technical and vocational education and training,28.5051382,-30.6914475,PRIVATE BAG X1247 MOUNT FLETCHER  5605,,,,,,,,,,,,,,,,,,,,
Lovedale TVET College,Lovedale TVET College - Alice Campus,,Technical and vocational education and training,26.8276203,-32.7851776,Victoria Street Alice Alice 5700,,,,,,,,,,,,,,,,,,,,
Ikhala TVET College,Ikhala TVET College - Iqhayiya-Cradock Campus,,Technical and vocational education and training,25.630668,-32.180473,CNR OF SIKULU and LUHABE STREET CRADOCK  5880,,,,,,,,,,,,,,,,,,,,
Eastcape Midlands TVET College,Eastcape Midlands TVET College - Graaff-reinet Campus,,Technical and vocational education and training,24.5296671,-32.2561767,22 MIDDLE STREET GRAAFF-REINET GRAAFF-REINET 6280,,,,,,,,,,,,,,,,,,,,
Eastcape Midlands TVET College,Eastcape Midlands TVET College - Brickfields Road Campus,,Technical and vocational education and training,25.4044533,-33.7840066,BRICKFIELDS ROAD UITENHAGE UITENHAGE 6230,,,,,,,,,,,,,,,,,,,,
Eastcape Midlands TVET College,Eastcape Midlands TVET College - Thanduxolo Campus,,Technical and vocational education and training,25.3724422,-33.8064814,24150 BANTOM ROAD KWANOBUHLE UITENHAGE 6242,,,,,,,,,,,,,,,,,,,,
Eastcape Midlands TVET College,Eastcape Midlands TVET College - Heath Park Campus,,Technical and vocational education and training,25.492578,-33.877639,c/o STANDFORD ROAD AND LAURENCE ERASMUS DRIVE BETHELSDORP PORT ELIZABETH 6020,,,,,,,,,,,,,,,,,,,,
King Hintsa TVET College,King Hintsa TVET College - Dutywa Campus,,Technical and vocational education and training,28.3144142,-32.1097156,PRIVATE BAG X3018 BUTTERWORTH  4960,,,,,,,,,,,,,,,,,,,,
Lovedale TVET College,Lovedale TVET College - King Campus,,Technical and vocational education and training,27.3950098,-32.8702766,Amatola Row King Williams Town King Williams Town 5600,,,,,,,,,,,,,,,,,,,,
Eastcape Midlands TVET College,Eastcape Midlands TVET College - Kwa Nobuhle Campus,,Technical and vocational education and training,25.414969,-33.784075,CHARLES GOODYEAR STREET   6229,,,,,,,,,,,,,,,,,,,,
Buffalo City TVET College,Buffalo City TVET College - East London Campus,,Technical and vocational education and training,27.854587,-33.029158,PRIVATE BAG 9016 EAST LONDON  5200,,,,,,,,,,,,,,,,,,,,
"Central University of Technology, Free State",BLOEMFONTEIN CAMPUS,Yes,University,29.127,-26.20147,,,,,,,,,,,,,,,,,,,,,
"Central University of Technology, Free State",WELKOM,,University,27.93163,-26.77164,,,,,,,,,,,,,,,,,,,,,
"Central University of Technology, Free State",WELKOM (EX VISTA),,University,27.93163,-26.77164,,,,,,,,,,,,,,,,,,,,,
University of the Free State,MAIN CAMPUS,Yes,University,26.1891,-29.10108,,,,,,,,,,,,,,,,,,,,,
University of the Free State,QWA QWA CAMPUS,,University,28.8269,-28.4826,,,,,,,,,,,,,,,,,,,,,
University of the Free State,SUIDKAMPUS,,University,26.20148,-29.17162,,,,,,,,,,,,,,,,,,,,,
University of South Africa (FS),Bloemfontein,,University,26.2067,-29.10105,,,,,,,,,,,,,,,,,,,,,
University of South Africa (FS),Kroonstad,,University,27.238,-27.65134,,,,,,,,,,,,,,,,,,,,,
Motheo TVET College,Motheo TVET College - Hillside View Campus,,Technical and vocational education and training,26.228206,-29.175042,KHOMO STREET BLOEMFONTEIN BLOEMFONTEIN 9300,,,,,,,,,,,,,,,,,,,,
Maluti TVET College,Maluti TVET College - Itemoheleng Campus,,Technical and vocational education and training,28.8228852,-28.5163708,ITEMOHELENG CAMPUS MAMPOI STREET PHUTHADITJHABA 9866,,,,,,,,,,,,,,,,,,,,
Goldfields TVET College,Goldfields TVET College - Tosa Campus,,Technical and vocational education and training,26.801775,-27.952233,14107 NDAKI ROAD THABONG WELKOM 9463,,,,,,,,,,,,,,,,,,,,
Maluti TVET College,Maluti TVET College - Sefikeng Campus,,Technical and vocational education and training,28.817182,-28.526073,BONAMELO CAMPUS SEFIKENG CAMPUS MAFUBE STREET 9866,,,,,,,,,,,,,,,,,,,,
Flavius Mareka TVET College,Flavius Mareka TVET College - Mphohadi Campus,,Technical and vocational education and training,27.1919426,-27.6447902,TANG STREET TANG STREET KROONSTAD 9500,,,,,,,,,,,,,,,,,,,,
